"Hh_ID";"gruppe";"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"beobachten";"vergleichen";"austauschen";"was_andere_tun";"messen1";"messen2";"gesl";"alter";"miete";"einkommen";"X03d_longhair";"X05a_goal_yn";"X06a_readable";"X08b_hhcomp_income";"X12b_underst_vol";"X12c_underst_ener";"sem01_verstaendlich";"sem04_wirksam";"sem05_unnuetz";"sem11_nervig"
2445;6;"Stimme zu";"Indifferent";"Stimme eher zu";"Indifferent";"Indifferent";"Stimme eher nicht zu";"Indifferent";"Stimme eher nicht zu";"Indifferent";"Indifferent";"Eher oft";"Eher selten";"Eher oft";"Eher oft";"Eher selten";"Eher oft";"weiblich";"50-64";"Mietwohnung";"5000 - 5999 Fr.";0;"Ja";4;20;"4";"3";-2;-2;2;0
2484;6;"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Indifferent";"Stimme eher zu";"Eher oft";"Nie";"Oft";NA;"Selten";"Eher selten";"männlich";"50-64";"Eigentumswohnung";"9000 - 9999 Fr.";1;"Ja";5;50;"5";"-1";-1;-2;3;2
2516;4;"Indifferent";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Indifferent";"Oft";"Nie";"Oft";"Eher oft";"Selten";"Oft";"männlich";"50-64";"Mietwohnung";"Keine Angabe";0;"Ja";5;20;"5";"5";-2;-3;2;0
2593;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Eher selten";"Eher selten";"Eher oft";"Selten";"Eher selten";"Eher oft";"männlich";"65+";"Eigentumswohnung";"Keine Angabe";0;"Nein";2;10;"5";"-1";0;0;0;0
2640;2;"Indifferent";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Indifferent";"Eher selten";"Selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"männlich";"65+";"Mietwohnung";"7000 - 7999 Fr.";0;NA;5;20;NA;NA;-3;-3;3;1
2643;2;"Stimme zu";"Indifferent";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme nicht zu";"Oft";"Eher selten";"Oft";"Oft";"Eher selten";"Eher oft";"männlich";"65+";"Mietwohnung";"6000 - 6999 Fr.";0;NA;5;80;NA;NA;-3;-3;3;3
2651;2;"Indifferent";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Oft";"Selten";"Oft";"Oft";"Selten";"Eher oft";"weiblich";"65+";"Mietwohnung";"Mehr als 15000 Fr.";0;NA;5;90;NA;NA;-3;-1;3;2
2657;2;"Indifferent";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Indifferent";"Nie";"Nie";"Eher oft";"Selten";"Nie";"Eher oft";"männlich";"50-64";"Mietwohnung";"< 3000 Fr.";0;NA;4;10;NA;NA;-3;3;2;2
2693;6;"Indifferent";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Selten";"Nie";"Eher selten";"Selten";"Selten";"Eher oft";"männlich";"65+";"Eigentumswohnung";"9000 - 9999 Fr.";0;"Ja";5;25;"5";"4";-2;-2;2;1
2780;5;"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme eher zu";"Indifferent";"Stimme nicht zu";"Stimme eher zu";"Stimme eher nicht zu";"Eher oft";"Eher selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"weiblich";"40-49";"Mietwohnung";"8000 - 8999 Fr.";0;"Ja";5;10;"5";"5";-3;-2;2;0
2807;3;"Stimme nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme nicht zu";"Stimme eher nicht zu";"Eher oft";"Selten";"Oft";"Eher selten";"Eher selten";"Eher oft";"weiblich";"50-64";"Mietwohnung";"5000 - 5999 Fr.";1;"Ja";3;50;"5";"5";-2;-3;3;0
2808;6;"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"Eher selten";"männlich";"40-49";"Mietwohnung";"Mehr als 15000 Fr.";0;"Nein";5;5;"5";"2";-3;1;1;0
2850;3;"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Nie";"Oft";"Nie";"Nie";"Oft";"männlich";"50-64";"Mietwohnung";"8000 - 8999 Fr.";0;"Ja";5;80;"5";"4";-3;-3;3;3
2892;2;"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Indifferent";"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Eher selten";"Selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"männlich";"50-64";"Mietwohnung";"9000 - 9999 Fr.";0;NA;2;50;NA;NA;-3;2;0;1
2930;2;"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme eher nicht zu";"Stimme eher zu";"Indifferent";"Eher oft";"Selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"männlich";"40-49";"Eigentumswohnung";"10000 - 11999 Fr.";0;NA;4;10;NA;NA;-3;0;0;0
2937;5;"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher nicht zu";"Stimme zu";"Indifferent";"Selten";"Selten";"Eher oft";"Eher selten";"Eher selten";"Eher oft";"männlich";"50-64";"Mietwohnung";"< 3000 Fr.";1;"Nein";3;70;"4";"3";-2;1;2;-2
2955;5;"Stimme nicht zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme nicht zu";"Stimme eher nicht zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Oft";"Eher selten";"Eher oft";"Eher selten";"Eher oft";"Oft";"männlich";"50-64";"Mietwohnung";"7000 - 7999 Fr.";0;"Nein";5;20;"4";"3";-2;2;-1;0
2958;5;"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme nicht zu";"Stimme zu";"Indifferent";"Eher oft";"Selten";"Eher oft";"Selten";"Selten";"Eher oft";"weiblich";"40-49";"Mietwohnung";"3000 - 3999 Fr.";0;"Ja";5;50;"5";"5";-2;-2;2;0
3049;6;"Stimme eher nicht zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"männlich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";1;"Nein";5;5;"5";"-1";2;-1;1;1
3098;1;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Indifferent";"Stimme eher zu";"Eher oft";"Selten";"Oft";"Eher oft";"Eher selten";"Eher selten";"weiblich";"40-49";"Mietwohnung";"3000 - 3999 Fr.";0;NA;5;80;NA;NA;-3;-1;1;0
3142;5;"Stimme nicht zu";"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme nicht zu";"Stimme eher nicht zu";"Stimme eher zu";"Oft";"Eher selten";"Oft";"Eher selten";"Selten";"Eher selten";"weiblich";"40-49";"Mietwohnung";"7000 - 7999 Fr.";1;"Ja";5;5;"5";"3";-3;-3;3;2
3170;3;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Selten";"Oft";"Oft";"Nie";"Eher selten";"männlich";"50-64";"Mietwohnung";"3000 - 3999 Fr.";0;"Nein";1;85;"-1";"-1";-3;-1;1;1
3204;1;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher nicht zu";"Indifferent";"Stimme nicht zu";"Stimme eher nicht zu";"Indifferent";"Eher oft";"Selten";"Oft";"Eher oft";"Selten";"Eher oft";"männlich";"40-49";"Mietwohnung";"6000 - 6999 Fr.";0;NA;4;90;NA;NA;-3;-3;3;2
3211;3;"Indifferent";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Indifferent";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher selten";"Eher selten";"Eher selten";"Eher oft";"Selten";"Eher oft";"weiblich";"40-49";"Mietwohnung";"7000 - 7999 Fr.";0;"Ja";5;50;"5";"3";-2;-2;3;2
3285;4;"Stimme nicht zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";NA;"Stimme nicht zu";"Stimme nicht zu";"Stimme eher zu";"Oft";"Eher oft";"Oft";"Eher oft";"Eher oft";"Oft";"männlich";"50-64";"Mietwohnung";"5000 - 5999 Fr.";0;"Ja";2;50;"5";"5";-3;-3;3;-3
3387;4;"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme eher nicht zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Oft";"Oft";"Oft";"Oft";"Oft";"Oft";"männlich";"30-39";"Mietwohnung";"Mehr als 15000 Fr.";0;"Ja";5;20;"5";"5";-3;-1;1;2
3442;2;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Nie";"Nie";"Oft";"Eher oft";"Eher oft";"Oft";"männlich";"30-39";"Mietwohnung";"Mehr als 15000 Fr.";0;NA;4;20;NA;NA;-2;-2;3;0
3540;4;"Indifferent";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Indifferent";"Selten";"Eher oft";"Eher oft";"Eher oft";"Nie";"Eher selten";"männlich";"65+";"Eigentumswohnung";"9000 - 9999 Fr.";1;"Nein";5;80;"5";"5";-2;-2;2;2
3571;1;"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme eher nicht zu";"Indifferent";"Indifferent";"Stimme eher nicht zu";"Stimme zu";"Indifferent";"Selten";"Eher selten";"Eher oft";"Selten";"Selten";"Eher selten";"männlich";"30-39";"Mietwohnung";"4000 - 4999 Fr.";0;NA;5;50;NA;NA;-3;-1;2;0
3598;2;"Indifferent";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Selten";"Oft";"Eher selten";"Selten";"Eher oft";"männlich";"30-39";"Mietwohnung";"12000 - 14999 Fr.";1;NA;4;0;NA;NA;-2;-1;1;2
3606;6;"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";NA;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Eher selten";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"Selten";"männlich";"40-49";"Mietwohnung";"10000 - 11999 Fr.";0;"Nein";4;40;"4";"-1";-2;-1;2;1
3650;2;"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Oft";"Eher oft";"Eher selten";"Oft";"Eher selten";"Eher oft";"weiblich";"50-64";"Mietwohnung";"Mehr als 15000 Fr.";1;NA;4;10;NA;NA;-2;0;0;0
3712;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Selten";"Nie";"Eher oft";"Selten";"Nie";"Oft";"männlich";"40-49";"Mietwohnung";"Keine Angabe";0;"Ja";4;50;"5";"5";-3;-3;3;1
3720;1;"Indifferent";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Selten";"Eher oft";"Oft";"Oft";"Eher selten";"Eher oft";"weiblich";"30-39";"Mietwohnung";"6000 - 6999 Fr.";1;NA;5;50;NA;NA;-3;-3;3;2
3809;3;"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Selten";"Eher oft";"Eher oft";"Selten";"Selten";"männlich";"30-39";"Mietwohnung";"6000 - 6999 Fr.";0;"Ja";5;60;"5";"3";-1;-1;0;0
3813;4;"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Selten";"Oft";"männlich";"40-49";"Mietwohnung";"Mehr als 15000 Fr.";0;"Ja";1;20;"5";"2";1;-2;2;1
3854;3;"Indifferent";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Indifferent";"Eher selten";"Selten";"Eher selten";"Eher oft";"Eher selten";"Eher oft";"weiblich";"20-29";"Mietwohnung";"5000 - 5999 Fr.";1;"Ja";4;35;"5";"4";-2;-1;2;1
3960;4;"Indifferent";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Eher selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"weiblich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";0;"Nein";5;30;"5";"5";-3;-2;3;2
3968;3;"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Oft";"Selten";"Eher selten";"Selten";"Eher selten";"Oft";"weiblich";"30-39";"Mietwohnung";"3000 - 3999 Fr.";1;"Ja";4;80;"5";"3";-1;-1;1;1
4009;2;"Stimme nicht zu";"Stimme nicht zu";"Stimme nicht zu";"Stimme nicht zu";"Indifferent";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Nie";"Selten";"Eher oft";"Eher oft";"Nie";"Eher oft";"männlich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";1;NA;5;40;NA;NA;-3;-2;3;0
4138;3;"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Oft";"Eher oft";"Eher oft";"Eher oft";"Eher selten";"männlich";"20-29";"Mietwohnung";"7000 - 7999 Fr.";0;"Nein";5;40;"4";"4";-2;-1;2;2
4142;3;"Indifferent";"Stimme zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme nicht zu";"Stimme eher zu";"Indifferent";"Selten";"Eher oft";"Eher selten";"Eher oft";"Eher oft";"Oft";"männlich";"50-64";"Mietwohnung";"Mehr als 15000 Fr.";0;"Nein";5;40;"5";"5";1;-2;2;1
4155;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";NA;"Stimme nicht zu";"Stimme zu";"Stimme zu";"Oft";"Eher selten";"Oft";"Eher oft";"Eher selten";"Oft";"weiblich";"30-39";"Mietwohnung";"5000 - 5999 Fr.";1;"Nein";5;50;"5";"4";-2;-3;3;3
4169;2;"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme zu";"Indifferent";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Eher selten";"Oft";"männlich";"50-64";"Mietwohnung";"10000 - 11999 Fr.";0;NA;2;10;NA;NA;-3;0;-2;0
4234;5;"Stimme eher zu";"Indifferent";"Indifferent";"Stimme nicht zu";"Indifferent";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme zu";NA;"Eher selten";"Selten";"Eher oft";"Selten";"Eher selten";"Eher oft";"männlich";"50-64";"Eigentumswohnung";"12000 - 14999 Fr.";0;"Nein";5;10;"5";"5";-2;0;2;0
4242;4;"Stimme eher nicht zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"weiblich";"40-49";"Mietwohnung";"10000 - 11999 Fr.";0;"Nein";5;35;"5";"5";-2;-2;3;0
4261;3;"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Eher oft";"Eher oft";"Eher oft";"Oft";"Eher oft";"Selten";"männlich";"30-39";"Mietwohnung";"9000 - 9999 Fr.";0;"Ja";3;30;"5";"1";0;-1;1;0
4264;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Eher selten";"Oft";"männlich";"30-39";"Mietwohnung";"12000 - 14999 Fr.";0;"Ja";4;50;"4";"1";0;-2;2;1
4305;1;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Oft";"Eher selten";"Eher oft";"Eher selten";"Eher oft";"Oft";"männlich";"50-64";"Mietwohnung";"9000 - 9999 Fr.";0;NA;5;20;NA;NA;-3;0;0;1
4335;4;"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Oft";"Eher selten";"Eher oft";"Eher selten";"Selten";"Eher selten";"weiblich";"30-39";"Mietwohnung";"10000 - 11999 Fr.";1;"Ja";5;20;"5";"2";-2;-2;2;0
4340;3;"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Oft";"Eher oft";"Oft";"Oft";"Eher oft";"Oft";"weiblich";"30-39";"Mietwohnung";"5000 - 5999 Fr.";1;"Ja";5;60;"5";"3";-2;-3;3;1
4411;4;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher nicht zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Eher selten";"Nie";"Eher oft";"Eher selten";"Eher selten";"Eher oft";"männlich";"20-29";"Mietwohnung";"6000 - 6999 Fr.";1;"Ja";5;75;"5";"4";-3;-2;2;0
4491;6;"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher selten";"Selten";"Eher selten";"Selten";"Eher oft";"Eher oft";"männlich";"40-49";"Mietwohnung";"12000 - 14999 Fr.";1;"Ja";4;40;"5";"5";-2;-3;3;2
4530;1;"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Indifferent";"Indifferent";"Stimme eher nicht zu";"Stimme eher zu";"Indifferent";"Eher selten";"Eher oft";"Eher selten";"Eher selten";"Eher oft";"Eher oft";"männlich";"30-39";"Mietwohnung";"5000 - 5999 Fr.";0;NA;5;25;NA;NA;-1;0;1;1
4538;2;"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Eher oft";"Oft";"Oft";"Eher oft";"Eher oft";"männlich";"30-39";"Mietwohnung";"7000 - 7999 Fr.";1;NA;5;30;NA;NA;-3;-2;2;1
4543;3;"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Indifferent";"Oft";"Oft";"Oft";"Oft";"Oft";"Oft";"weiblich";"30-39";"Mietwohnung";"7000 - 7999 Fr.";1;"Nein";4;70;"5";"2";-2;-1;3;1
4555;2;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Eher selten";"Oft";"Eher oft";"Eher oft";"Eher oft";"männlich";"20-29";"Mietwohnung";"7000 - 7999 Fr.";1;NA;5;30;NA;NA;-1;0;-1;0
4576;3;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Indifferent";"Indifferent";"Eher oft";"Selten";"Oft";"Selten";"Selten";"Eher oft";"männlich";"20-29";"Mietwohnung";"Keine Angabe";0;"Nein";5;50;"5";"3";-2;-2;2;1
4600;1;"Indifferent";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher nicht zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Eher selten";"Oft";"weiblich";"40-49";"Mietwohnung";"4000 - 4999 Fr.";0;NA;4;60;NA;NA;-2;0;1;0
4606;5;"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Selten";"Eher oft";"Eher selten";"Selten";"Oft";"weiblich";"40-49";"Mietwohnung";"6000 - 6999 Fr.";0;"Ja";5;30;"5";"3";1;-2;-2;1
4621;5;"Indifferent";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Oft";"Eher selten";"Eher oft";"Eher oft";"Selten";"Selten";"weiblich";"50-64";"Mietwohnung";"7000 - 7999 Fr.";1;"Ja";3;30;"5";"3";-2;-3;3;1
